"pregunta","respuesta","contexto","archivo"
"¿Qué hace del Mercado Central un lugar especial?","El Mercado Central de Valencia es un lugar especial porque es la mayor plaza de abastos de Europa, un templo sagrado de la gastronomía mediterránea, y está considerado uno de los mercados más bonitos del mundo. Además, su tradición comercial se remonta a la época musulmana de Valencia, lo que le confiere un carácter mágico lleno de historia y curiosidades.","El Mercado Central de València es un lugar de culto para los amantes de la gastronomía. Un templo sagrado en pleno corazón de Ciutat Vella, donde sus comerciantes te brindan la oportunidad de sumergirte en ese mundo insólito de sabores, colores y olores que llamamos dieta mediterránea.
Es la mayor plaza de abastos de Europa con sus más de 8.000 metros cuadrados y se encuentra en la lista de mercados más bonitos del mundo según la cadena de televisión británica BBC. 
Aunque el edificio tiene algo más de 100 años, la tradición comercial del emplazamiento donde se ubica data de los años de una València (Balansiya) bajo el dominio musulmán. Por eso no es de extrañar que este enclave se haya convertido en un espacio mágico, lleno de curiosidades, leyendas y con muchas historias que contar.","Articulos del blog/10-cosas-que-no-sabes-del-mercado-central.txt"
"¿Cuándo fue inaugurado el Mercado Central que conocemos hoy en día?","El Mercado Central de Valencia que conocemos hoy en día fue inaugurado en 1928, tras 14 años de obras.","Tras 14 años de obras, en 1928, se inauguró el Mercado Central de València que hoy conocemos.","Articulos del blog/10-cosas-que-no-sabes-del-mercado-central.txt"
"¿Qué tipo de productos puedo encontrar en el Mercado Central?","En el Mercado Central puedes encontrar una gran variedad de productos, desde frutas y verduras de la huerta valenciana hasta carnes, pescados, mariscos, salazones, encurtidos, especias y hierbas aromáticas. También puedes encontrar productos más novedosos propios de la cocina de vanguardia.","Y es que entre los más de 300 puestos (conocidos como «paradas») se puede adquirir una extraordinaria variedad de productos, desde los más tradicionales hasta otros más novedosos propios de la cocina de vanguardia. Frutas y verduras, carnes, pescados, mariscos, salazones y encurtidos son solo un pequeño ejemplo. Destacan (como no podía ser de otro modo) las frutas y verduras de la huerta valenciana, con una diversidad realmente única.","Articulos del blog/10-cosas-que-no-sabes-del-mercado-central.txt"
"¿Puedo comprar online en el Mercado Central y recibir los productos en mi casa?","Sí, puedes realizar tu pedido por Internet y recibir género fresco en cualquier punto de España, e incluso de Europa.","Esta apuesta se ha mantenido con el paso de los años hasta el punto de que en la actualidad es posible realizar tu pedido por Internet y recibir género fresco en cualquier punto de España, e incluso de Europa.","Articulos del blog/10-cosas-que-no-sabes-del-mercado-central.txt"
"¿Hay restaurantes dentro del Mercado Central?","Sí, el mercado cuenta con varios establecimientos de restauración donde puedes degustar la gastronomía autóctona, como el Central Bar de Ricard Camarena.","El mercado cuenta con varios establecimientos de restauración donde degustar la gastronomía autóctona en forma de ricas creaciones culinarias que te ofrecen todo un viaje de lo más sensorial. 
El Central Bar, capitaneado por el chef valenciano Ricard Camarena, es quizás el más popular.","Articulos del blog/10-cosas-que-no-sabes-del-mercado-central.txt"
"¿Qué puedo hacer si quiero probar la comida del mercado pero no quiero cocinar?","Puedes comprar tus ingredientes favoritos en las paradas del mercado y llevarlos a uno de los restaurantes cercanos que participan en la iniciativa. Por un módico precio, te los cocinarán (bebidas aparte).","Pues es tan sencillo como eso: acércate a comprar tus ingredientes favoritos en las paradas, llévalos a uno de los restaurantes que participan y por un módico precio te los cocinan (bebidas aparte).","Articulos del blog/10-cosas-que-no-sabes-del-mercado-central.txt"
"¿Qué días y horas está abierto el Mercado Central?","El Mercado Central está abierto de lunes a sábado hasta el mediodía. No abre por las tardes.","Debes saber que puedes disfrutar de este monumento gastronómico de lunes a sábado hasta el mediodía. Sí, aquí viene la última curiosidad: este mercado no abre por las tardes.","Articulos del blog/10-cosas-que-no-sabes-del-mercado-central.txt"
"¿Cómo puedo llegar al Mercado Central?","El Mercado Central se encuentra en pleno centro de la ciudad y está muy bien comunicado por transporte público. Puedes llegar paseando, en autobús o en metro.","El mercado se encuentra en pleno centro de la ciudad, muy bien comunicado por transporte público. Podrás llegar paseando cómodamente o haciendo uso del autobús o del metro.","Articulos del blog/10-cosas-que-no-sabes-del-mercado-central.txt"
"¿Qué representa la cotorra que corona una de las cúpulas del Mercado Central?","Según la leyenda, la cotorra del Mercado Central, llamada la «Cotorra del Mercat», y el Pardal de San Joan, la veleta de la Iglesia de los Santos Juanes, comentaban los acontecimientos de la ciudad desde las alturas. La cotorra representa lo mundano.","Según la leyenda, la cotorra y su vecino Pardal de San Joan, la veleta de la Iglesia de los Santos Juanes, comentaban los acontecimientos de la ciudad desde las alturas.
Estos personajes han aparecido en infinidad de sainetes valencianos y otras obras populares reflejando una perfecta contraposición entre lo mundano (la cotorra) y lo divino (el pardal).","Articulos del blog/10-cosas-que-no-sabes-del-mercado-central.txt"
"¿Por qué el Mercado Central no abre por las tardes?","El Mercado Central no abre por las tardes porque los comerciantes comienzan su jornada de madrugada para aprovisionar sus paradas con género del día, desplazándose hasta las huertas o la lonja.","El motivo es que los comerciantes comienzan su jornada aún de madrugada para aprovisionar sus paradas con género del día, desplazándose hasta las propias huertas o la lonja para traer a las mesas valencianas los productos de la mejor calidad.","Articulos del blog/10-cosas-que-no-sabes-del-mercado-central.txt"
